GENE_NAME,ID,DESCRIPTION,SUMMARY
PLGLB2,5342,plasminogen like B2,"Predicted to enable serine-type endopeptidase activity. Predicted to be involved in proteolysis. Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]"
FER1L4,80307,fer-1 like family member 4 (pseudogene),"Predicted to enable metal ion binding activity. Predicted to be involved in plasma membrane organization. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
EID3,493861,EP300 interacting inhibitor of differentiation 3,"Predicted to be involved in DNA repair. Located in nucleolus and nucleoplasm. Part of Smc5-Smc6 complex. [provided by Alliance of Genome Resources, Apr 2022]"
FLJ13373,80073,hypothetical protein FLJ13373,
TNFRSF10A,8797,TNF receptor superfamily member 10a,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is activated by tumor necrosis factor-related apoptosis inducing ligand (TNFSF10/TRAIL), and thus transduces cell death signal and induces cell apoptosis. Studies with FADD-deficient mice suggested that FADD, a death domain containing adaptor protein, is required for the apoptosis mediated by this protein. [provided by RefSeq, Jul 2008]"
L3MBTL4,91133,L3MBTL histone methyl-lysine binding protein 4,"Predicted to enable chromatin binding activity and histone binding activity. Predicted to be involved in negative regulation of transcription, DNA-templated. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
GPRIN3,285513,GPRIN family member 3,"Predicted to be involved in neuron projection development. Predicted to be active in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
SLFN11,91607,schlafen family member 11,"Enables tRNA binding activity. Involved in several processes, including defense response to virus; negative regulation of G1/S transition of mitotic cell cycle; and replication fork arrest. Located in cytosol; nucleoplasm; and site of DNA damage. [provided by Alliance of Genome Resources, Apr 2022]"
CLUHP3,100132341,clustered mitochondria homolog pseudogene 3,
NMNAT3,349565,nicotinamide nucleotide adenylyltransferase 3,"This gene encodes a member of the nicotinamide/nicotinic acid mononucleotide adenylyltransferase family. These enzymes use ATP to catalyze the synthesis of nicotinamide adenine dinucleotide or nicotinic acid adenine dinucleotide from nicotinamide mononucleotide or nicotinic acid mononucleotide, respectively. The encoded protein is localized to mitochondria and may also play a neuroprotective role as a molecular chaperone. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2011]"
ERMN,57471,ermin,"Predicted to enable actin filament binding activity. Involved in actin filament organization; regulation of cell projection organization; and regulation of cell shape. Located in cell cortex; internode region of axon; and paranode region of axon. [provided by Alliance of Genome Resources, Apr 2022]"
MYO5C,55930,myosin VC,"Predicted to enable actin filament binding activity and microfilament motor activity. Predicted to be involved in actin filament organization and vesicle transport along actin filament. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
CACNB4,785,calcium voltage-gated channel auxiliary subunit beta 4,"This gene encodes a member of the beta subunit family of voltage-dependent calcium channel complex proteins. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization and consist of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. Various versions of each of these subunits exist, either expressed from similar genes or the result of alternative splicing. The protein encoded by this locus plays an important role in calcium channel function by modulating G protein inhibition, increasing peak calcium current, controlling the alpha-1 subunit membrane targeting and shifting the voltage dependence of activation and inactivation. Certain mutations in this gene have been associated with idiopathic generalized epilepsy (IGE), juvenile myoclonic epilepsy (JME), and episodic ataxia, type 5. [provided by RefSeq, Aug 2016]"
PIK3CG,5294,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","Phosphoinositide 3-kinases (PI3Ks) phosphorylate inositol lipids and are involved in the immune response. The protein encoded by this gene is a class I catalytic subunit of PI3K. Like other class I catalytic subunits (p110-alpha p110-beta, and p110-delta), the encoded protein binds a p85 regulatory subunit to form PI3K. This gene is located in a commonly deleted segment of chromosome 7 previously identified in myeloid leukemias. Several transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jun 2015]"
COLCA1,399948,colorectal cancer associated 1,"This gene encodes a transmembrane protein that localizes to granular structures, including crystalloid eosinophilic granules and other granular organelles. This gene, along with an overlapping opposite strand gene, has been implicated as a susceptibility locus for colorectal cancer. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Nov 2014]"
SLC25A3,5250,solute carrier family 25 member 3,"The protein encoded by this gene catalyzes the transport of phosphate into the mitochondrial matrix, either by proton cotransport or in exchange for hydroxyl ions. The protein contains three related segments arranged in tandem which are related to those found in other characterized members of the mitochondrial carrier family. Both the N-terminal and C-terminal regions of this protein protrude toward the cytosol. Multiple alternatively spliced transcript variants have been isolated. [provided by RefSeq, Jul 2008]"
NOVA1,4857,NOVA alternative splicing regulator 1,"This gene encodes a neuron-specific RNA-binding protein, a member of the Nova family of paraneoplastic disease antigens, that is recognized and inhibited by paraneoplastic antibodies. These antibodies are found in the sera of patients with paraneoplastic opsoclonus-ataxia, breast cancer, and small cell lung cancer. Alternatively spliced transcripts encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008]"
LOXHD1,125336,lipoxygenase homology PLAT domains 1,"This gene encodes a highly conserved protein consisting entirely of PLAT (polycystin/lipoxygenase/alpha-toxin) domains, thought to be involved in targeting proteins to the plasma membrane. Studies in mice show that this gene is expressed in the mechanosensory hair cells in the inner ear, and mutations in this gene lead to auditory defects, indicating that this gene is essential for normal hair cell function. Screening of human families segregating deafness identified a mutation in this gene which causes DFNB77, a progressive form of autosomal-recessive nonsyndromic hearing loss (ARNSHL). Alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Mar 2010]"
SLC26A7,115111,solute carrier family 26 member 7,"This gene is one member of a family of sulfate/anion transporter genes. Family members are well conserved in gene structure and protein length yet have markedly different tissue expression patterns. This gene has abundant and specific expression in the kidney. Alternatively spliced transcript variants that encode different isoforms have been described. [provided by RefSeq, Aug 2013]"
CYP1B1-AS1,285154,CYP1B1 antisense RNA 1,
ITPKB,3707,inositol-trisphosphate 3-kinase B,"The protein encoded by this protein regulates inositol phosphate metabolism by phosphorylation of second messenger inositol 1,4,5-trisphosphate to Ins(1,3,4,5)P4. The activity of this encoded protein is responsible for regulating the levels of a large number of inositol polyphosphates that are important in cellular signaling. Both calcium/calmodulin and protein phosphorylation mechanisms control its activity. [provided by RefSeq, Jul 2008]"
H2BFXP,767811,"H2B.W histone 4, pseudogene",
